"constant","description ","definition","type","priority","score","selection_score","reasoning","notes"
"COORDINATE_UNCERTAINTY_METERS_INVALID","Indicates an invalid or very unlikely dwc:uncertaintyInMeters.","The value given for Coordinate uncertainty in meters, indicating the radius of uncertainty around the given decimal coordinates, is not a valid number, or lies outside a plausible range.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"CONTINENT_COORDINATE_MISMATCH","The interpreted occurrence coordinates fall outside of the indicated continent.","definition not supplied","geospatial","Low","1","-1","Does not affect coordiante accuracy","http://www.geo.hunter.cuny.edu/~jochen/gtech201/lectures/lec6concepts/05%20-%20Understanding%20datums.html"
"CONTINENT_COUNTRY_MISMATCH","The interpreted continent and country do not match.","The interpreted continent and country do not match up.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"CONTINENT_DERIVED_FROM_COORDINATES","The interpreted continent is based on the coordinates, not the verbatim string information.","If no value is supplied for the continent or if the values cannot be matched against a known vocabulary, data interpretation derives the continent from the decimal coordinates.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"CONTINENT_DERIVED_FROM_COUNTRY","The interpreted continent is based on the country, not the verbatim string information.","definition not supplied","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COORDINATE_ACCURACY_INVALID","Deprecated. ","definition not supplied","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COORDINATE_PRECISION_INVALID","Indicates an invalid or very unlikely coordinatePrecision","Indicates an invalid or very unlikely coordinates precision. The value is not a decimal number as expected, or it has an unusually low or high for a margin of uncertainty.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COORDINATE_PRECISION_UNCERTAINTY_MISMATCH","Deprecated. ","definition not supplied","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COORDINATE_REPROJECTED","The original coordinate was successfully reprojected from a different geodetic datum to WGS84.","The original coordinates were successfully reprojected from a different geodetic datum to WGS84.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"ELEVATION_NON_NUMERIC","Set if elevation is a non-numeric value","The values for minimum and maximum elevation are non-numeric values and cannot be interpreted.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"ELEVATION_NOT_METRIC","Set if supplied elevation is not given in the metric system, for example using feet instead of meters","Set if supplied elevation is not given in the metric system, for example using feet instead of meters.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"ELEVATION_UNLIKELY","Set if elevation is above the troposphere (17km) or below 11km (Mariana Trench).","The values for minimum and maximum elevation are above the troposphere (17000 m) or below Mariana Trench (11000 m).","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"CONTINENT_INVALID","Uninterpretable continent values found.","The continent given cannot be matched to the vocabulary for continent names","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COUNTRY_DERIVED_FROM_COORDINATES","The interpreted country is based on the coordinates, not the verbatim string information.","If the country and country code are not supplied or cannot be matched to known values, data interpretation derives their content from the decimal coordinates through a lookup service.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COUNTRY_INVALID","Uninterpretable country values found.","The country or countryCode given cannot be matched to the vocabulary for country names.","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"ELEVATION_MIN_MAX_SWAPPED","Set if supplied minimum elevation > maximum elevation","definition not supplied","geospatial","Low","1","-1","Does not affect coordiante accuracy",
"COORDINATE_ROUNDED","Original coordinate modified by rounding to 5 decimals.","In the data interpretation the original coordinates are rounded to 6 decimals (~1m precision).","geospatial","Low","1","-1","Does not affect coordinate accuracy at 1x1 km or coarser resolution",
"DEPTH_MIN_MAX_SWAPPED","Set if supplied minimum depth > maximum depth",,"geospatial","None","0","0","Not applicable",
"DEPTH_NON_NUMERIC","Set if depth is a non-numeric value",,"geospatial","None","0","0","Not applicable",
"DEPTH_NOT_METRIC","Set if supplied depth is not given in the metric system, for example using feet instead of meters",,"geospatial","None","0","0","Not applicable",
"DEPTH_UNLIKELY","Set if depth is larger than 11,000m or negative.",,"geospatial","None","0","0","Not applicable",
"COUNTRY_MISMATCH","Interpreted country for dwc:country and dwc:countryCode contradict each other.","Interpreted Country and Country code contradict each other.","geospatial","Low","1","-1","Possibly due to geopolitical changes. Does not affect coordinate accuracy.",
