"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"ACEVEDO","R. ACEVEDO R.; C. REYES",,"",,,,,
"ACOSTA","R. ACOSTA P.; F. VÁZQUEZ B.",,"",,,,,
"ACOSTA","R. ACOSTA P.; N. ACOSTA B.",,"",,,,,
"ADARVE","J. ADARVE",,"",,,,,
"AGUILAR","AGUILAR, R.M.",,"",,,,,
"AGUILAR","JOSÉ AGUILAR CANO;SANDRA MEDINA;JHONATAN GUZMÁN",,"",,,,,
"AGUILAR","M.L. REYNA DE AGUILAR",,"",,,,,
"AGUILAR","R.M. AGUILAR",,"",,,,,
"AGUILAR","REYNA DE AGUILAR,M.L.",,"",,,,,
"AGUILAR-CANO","AGUILAR-CANO, J.;MEDINA, SANDRA",,"",,,,,
"AGUILAR-CANO","AGUILAR-CANO, J.;MEDINA, SANDRA;GUZMÁN, JHONATAN",,"",,,,,
"AGUILAR-CANO","J. AGUILAR-CANO;S. MEDINA",,"",,,,,
"AGUILAR-CANO","JOSÉ  AGUILAR-CANO;SANDRA MEDINA;JHONATAN GUZMÁN",,"",,,,,
"AGUSTIN","AGUSTÍN FLORES M.; O. GUTIÉRREZ R.",,"",,,,,
"AGUSTIN","AGUSTÍN FLORES M.; OSCAR GUTIÉRREZ",,"",,,,,
"ALBERTI","ALBERTI, FA",,"",,,,,
"ALEJANDRO","ALEJANDRO ARAUJO M.;A. T. FERNÁNDEZ C.;D. CHOQUE A.",,"",,,,,
"ALEJANDRO","ALEJANDRO ARAUJO M.;A. T. FERNÁNDEZ C.;S. PAREDES;GUZMÁN JOVE",,"",,,,,
"ALEJANDRO","ALEJANDRO ARAUJO M.;A.S. POMA C.;PILAR GARAGORRI;S. PAREDES;DANTE CHAMBI",,"",,,,,
"ALEJANDRO","ALEJANDRO ARAUJO M.;A.S. POMA C.;PILAR GARAGORRI;S. PAREDES;EVERT CUEVAS",,"",,,,,
"ALEXANDER","HENRIK FRANZ ALEXANDER VON EGGERS",,"",,,,,
"ALFREDO","ALFREDO PÉREZ J.",,"",,,,,
"ALFREDO","ALFREDO SAYNES V.; A. SÁNCHEZ; G. JUÁREZ",,"",,,,,
"ALFREDO","ALFREDO SAYNES V.; ARTURO SÁNCHEZ; ARTURO NAVA ZAFRA",,"",,,,,
"ALLEN","P. H. ALLEN & M. VAN SEVEREN",,"",,,,,
"ALVARES","ÁLVARES, D; JIMENEZ, JC",,"",,,,,
"ALVAREZ","D. ÁLVAREZ; C. JIMÉNEZ",,"",,,,,
"ALVAREZ","D. ÁLVAREZ; C. JIMÉNEZ J.",,"",,,,,
"ALVAREZ","D.A. MONTEJO ALVAREZ; C. JIMÉNEZ J.",,"",,,,,
"ALVAREZ","WILSON DEVIA ALVAREZ",,"",,,,,
"ALVAREZ-MANJARREZ","JULIETA ALVAREZ-MANJARREZ",,"",,,,,
"ALVES","ALVES, J.; ET AL.",,"",,,,,
"ALVES","ALVES, J;ET AL.",,"",,,,,
"ALVES","ALVES, J;J. ALVES,ET AL.",,"",,,,,
"ALVES","J. ALVES ET AL.",,"",,,,,
"ANDRES","ANDRES RDZ.; M. MARTINEZ; J. MANUEL SOSA",,"",,,,,
"ANNETTA","ANNETTA CARTER",,"",,,,,
"ANNETTA","ANNETTA CARTER; ROXANA FERRIS",,"",,,,,
"ANNETTA","ANNETTA M. CARTER",,"",,,,,
"ANNETTA","ANNETTA M. CARTER; J.R.HASTINGS AND R.M. TURNER",,"",,,,,
"ANTONIO","ANTONIO MOLINA R.;ALBERTINA R. MOLINA",,"",,,,,
"ANTONIO","MARCO ANTONIO GUZMÁN LUCIO",,"",,,,,
"APARICIO","APARICIO,R. & RIVERA,R.",,"",,,,,
"APARICIO","R. APARICIO;R. RIVERA",,"",,,,,
"ARAUJO","ARAUJO, D.;N.C. MACIEL",,"",,,,,
"ARBELAEZ","ENRIQUE PÉREZ ARBELÁEZ;JOSÉ CUATRECASAS",,"",,,,,
"ARBOLEDA","ARBOLEDA, O.;BRAND, J.;BUNCH, P.;LOH, J. VON",,"",,,,,
"ARBOLEDA","ARBOLEDA, O.;BRAND, J.;BUNCH, P.;SANTA, J.",,"",,,,,
"ARMANDO","ARMANDO DUGAND GNECO;HERNÁNDO GARCÍA BARRIGA",,"",,,,,
"ARMANDO","ARMANDO DUGAND GNECO;R. JARAMILLO",,"",,,,,
"ARMANDO","ARMANDO REALES",,"",,,,,
"ARTURO","ARTURO NAVA ZAFRA; A. SÁNCHEZ; R. EICHENBERGER",,"",,,,,
"ARTURO","ARTURO NAVA ZAFRA; ARTURO SÁNCHEZ; KENIA VELÁSCO GUTIÉRREZ",,"",,,,,
"ASSIS","ASSIS, A.M.;SANTOS, J.,CRIBARI, R.S.",,"",,,,,
"AVINA","VEGA AVIÑA RITO; HERNÁNDEZ A. FAUSTINO",,"",,,,,
"AVINA","VEGA AVIÑA RITO; HERNÁNDEZ V. JORGE A.",,"",,,,,
"AYALA","M. G. AYALA",,"",,,,,
"AYALA","M.G. AYALA",,"",,,,,
"AYERBE","LUIS EM. SAIZ AYERBE;FRED A. BARKLEY",,"",,,,,
"AYMARD","G. A. AYMARD & N. L. CUELLO",,"",,,,,
"BADEL","A. BADEL; I. LEGUÍZAMO",,"",,,,,
"BAEZ","J. BAEZ",,"",,,,,
"BALANSA","BALANSA, B. (NO. 2282 A)",,"",,,,,
"BALANSA","BALANSA, B. (NO. 2282)",,"",,,,,
"BALANSA","BALANSA, G.J.B.",,"",,,,,
"BALANSA","BALANSA,B.",,"",,,,,
"BALBIS","BALBIS,G.B.",,"",,,,,
"BALEE","W. L. BALÉE;O. ÁLVARES DA SILVA",,"",,,,,
"BALLESTEROS","M.A. MARTÍN BALLESTEROS",,"",,,,,
"BARBER","H. BARBER",,"",,,,,
"BARKLEY","F. A. BARKLEY, R. SCOLNIK & L. SAIZ A.",,"",,,,,
"BARO","D. BARO",,"",,,,,
"BELLAMY","C. L. BELLAMY",,"",,,,,
"BENAVIDES","BENAVIDES J.;VALENCIA A.",,"",,,,,
"BENJAMIN","BENJAMIN CARROLL THARP",,"",,,,,
"BENJAMIN","BENJAMIN CARROLL THARP;ECOLOGY CLASS",,"",,,,,
"BENJAMIN","BENJAMIN CARROLL THARP;JOE C. JOHNSON;GRADY L. WEBSTER",,"",,,,,
"BENJAMIN","BENJAMIN CARROLL THARP;MARSHALL C. JOHNSTON",,"",,,,,
"BENJAMIN","BENJAMIN T. WILDER; BRAD BOYLE ET AL.",,"",,,,,
"BENJAMIN","BENJAMIN T. WILDER; BRAD BOYLE, ET AL.",,"",,,,,
"BENJAMIN","BENJAMIN T. WILDER; HUMBERTO ROMERO-MORALES AND ALEXANDER SWANSON",,"",,,,,
"BENJAMIN","BENJAMIN WILDER",,"",,,,,
"BENJAMIN","BENJAMIN WILDER; SULA VANDERPLANK, JOSE LUIS LEON DE LA LUZ",,"",,,,,
"BERENDSOHN","BERENDSOHN,W., GRUBER,K., MONTERROSA,J. & RODRÍGUEZ,D.",,"",,,,,
"BERENDSOHN","W.G. BERENDSOHN;K. GRUBER;JORGE MONTERROSA S.;DAGOBERTO RODRÍGUEZ",,"",,,,,
"BERNAL","HENRY Y. BERNAL M.",,"",,,,,
"BETANCUR","BETANCUR, JULIO;LÓPEZ, RENÉ;GALEANO, GLORIA;ARÉVALO, RAFAEL;ET AL.",,"",,,,,
"BIELMA","M. A. GARCÍA BIELMA",,"",,,,,
"BIGANZOLI","F. BIGANZOLI;PAOLA PERALTA;G. MÁRQUEZ",,"",,,,,
"BOLIVAR","BOLÍVAR MERINO",,"",,,,,
"BONIFAZ","BONIFAZ & CORNEJO",,"",,,,,
"BONIFAZ","C. BONIFAZ & CORNEJO",,"",,,,,
"BORSCH","TH. BORSCH, D. PRATT, K. MUELLER 3446",,"",,,,,
"BORTOLOTTO","BORTOLOTTO, I. M.;NAKAJIMA, J.N.,JOSÉ,FLÁVIO,HELRY,LUIS, J.,PORFÍRIO, G.,ASSIS, E. RODRIGUES, D. P.,ISHII, I. H.,NASCIMENTO, V.,SCAMARELI, A.,DAMASCENO-JUNIOR, G. A.",,"",,,,,
"BRATZ","R. D. BRATZ; B. VILLA R.",,"",,,,,
"BRAVO","H. BRAVO",,"",,,,,
"BREEDLOVE","BREEDLOVE, D E",,"",,,,,
"BUENO","BUENO, RM; ET AL.",,"",,,,,
"BUENO","BUENO, RM;ET AL.",,"",,,,,
"BUITRAGO","FERNANDO BUITRAGO",,"",,,,,
"BULLOCK","S. H. BULLOCK",,"",,,,,
"BULLOCK","STEPHEN H. BULLOCK",,"",,,,,
"BUNCH","BUNCH P.",,"",,,,,
"BUNCH","BUNCH P.;ARBOLEDA O.;BRAND J.;SANTA J.",,"",,,,,
"BUNCH","BUNCH P.;ARBOLEDA O.;VON LOH J.",,"",,,,,
"BUNCH","BUNCH, P.",,"",,,,,
"BURQUEZ","ALBERTO BÚRQUEZ",,"",,,,,
"BURQUEZ","ALBERTO BÚRQUEZ; I. GRANILLO",,"",,,,,
"CABALLERO","J. CABALLERO;ET AL.",,"",,,,,
"CABIDO","CABIDO, M.",,"",,,,,
"CABRERA","ANGEL L. CABRERA;NÉLIDA M. BACIGALUPO;ROBERTO KIESLING;MARÍA E. MÚLGURA",,"",,,,,
"CABRERA","ANGEL L. CABRERA;NÉLIDA M. BACIGALUPO;SILVIA M. BOTTA",,"",,,,,
"CABRERA","ANGEL L. CABRERA;SILVIA M. BOTTA",,"",,,,,
"CABRERA","CHIANG CABRERA, FERNANDO",,"",,,,,
"CABRERA","E. CABRERA C.; O. CANUL",,"",,,,,
"CABRERA","E. CABRERA; O. CANUL",,"",,,,,
"CABRERA","E. F. CABRERA C.; O. CANUL",,"",,,,,
"CABRERA","EDGAR FCO. CABRERA C.;O. CANUL",,"",,,,,
"CADENA","CADENA",,"",,,,,
"CALAWAY","CALAWAY H. DODSON;ET AL.",,"",,,,,
"CALIXTO","CALIXTO LEÓN G.",,"",,,,,
"CALONICO","JORGE CALÓNICO SOTO; O. TÉLLEZ; A. DOMÍNGUEZ M.",,"",,,,,
"CALONICO-SOTO","JORGE CALÓNICO-SOTO; O. TÉLLEZ V., A. DOMÍNGUEZ M., J. MARTÍNEZ C.",,"",,,,,
