"Ctrl_gbifID","Ctrl_bibliographicCitation","Ctrl_language","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_datasetName","Ctrl_basisOfRecord","Ctrl_catalogNumber","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_occurrenceStatus","Ctrl_eventDate","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_habitat","Ctrl_fieldNotes","Ctrl_eventRemarks","Ctrl_countryCode","Ctrl_stateProvince","Ctrl_municipality","Ctrl_county","Ctrl_locality","Ctrl_level0Name","Ctrl_level1Name","Ctrl_level2Name","Ctrl_level3Name","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_scientificName","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_geospatial_quality","Ctrl_verbatim_quality","Ctrl_moreInformativeRecord","Ctrl_coordinates_validated_by_gbif_issue","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_reviewed","wcvp_searchNotes","parseGBIF_digital_voucher","parseGBIF_duplicates","parseGBIF_num_duplicates","parseGBIF_non_groupable_duplicates","parseGBIF_duplicates_grouping_status","parseGBIF_unidentified_sample","parseGBIF_sample_taxon_name","parseGBIF_sample_taxon_name_status","parseGBIF_number_taxon_names","parseGBIF_useful_for_spatial_analysis","parseGBIF_decimalLatitude","parseGBIF_decimalLongitude","parseGBIF_freq_duplicate_or_missing_data"
3308424115,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","686967",,"R. Acevedo R.; C. Reyes","PRESENT",1994-09-24,1994,9,24,"Bosque espinoso. (costero)",,,"MX","Jalisco",,"TOMATLAN","Alrededores del estero El Ermitaño",,,,,"M. Cházaro B.",,"Achatocarpus gracilis H.Walter",,,"ACEVEDO",,"ACHATOCARPACEAE_ACEVEDO_",-9,7,-2,FALSE,500150,"Species","Accepted","Achatocarpaceae","Achatocarpus gracilis","H.Walter","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus gracilis","identified",1,FALSE,,,""
1319091900,,,"US","US","NMNH Extant Biology","PRESERVED_SPECIMEN","USw20137","11918","M. Acosta Solis","PRESENT",,,,,,,,"EC","Manabí",,,"PortoViejo",,,,,,,"Achatocarpus nigricans Triana",,,"ACOSTA",11918,"ACHATOCARPACEAE_ACOSTA_11918",-9,7,-2,FALSE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,FALSE,"groupable",FALSE,"Achatocarpus nigricans","identified",1,FALSE,,,""
4061268315,"http://www.tropicos.org/Specimen/101620922",,"FCQ","Tropicos","Tropicos","PRESERVED_SPECIMEN","101620922","Aguayo 494","A. Aguayo","PRESENT",1989-06-18,1989,6,18,,,,"PY","Guairá",,,"A 7 km de Melgarejo sobre camino que va al cerro Acatí. Sobre borde del camino.",,,,,"R.Liesner(MO)",2000-01-01,"Achatocarpus praecox var. bicornutus (Schinz & Autran) Botta",,,"AGUAYO",494,"ACHATOCARPACEAE_AGUAYO_494",-9,8,-1,FALSE,500160,"Variety","Accepted","Achatocarpaceae","Achatocarpus praecox var. bicornutus","(Schinz & Autran) Botta","Y","Accepted",TRUE,TRUE,2,FALSE,"groupable",FALSE,"Achatocarpus praecox var. bicornutus","identified",1,FALSE,,,""
1052044115,,,"UPS","BOT",,"PRESERVED_SPECIMEN","V-529094",,"R.M. Aguilar","PRESENT",1948-09-18,1948,9,18,,,,"AR","Chaco",,,"Dep. Resistencia, Margarita Belén",,,,,,,"Achatocarpus Triana",,,"AGUILAR",,"ACHATOCARPACEAE_AGUILAR_",-9,7,-2,FALSE,,,,,,,,,TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",TRUE,"","unidentified",0,FALSE,,,""
890166710,,,"E","E","Royal Botanic Garden Edinburgh Herbarium","PRESERVED_SPECIMEN","E00692628","1299","Aguilar, R.M.","PRESENT",1948-09-18,1948,9,18,,,,"AR","Provincia de Chaco",,,"Gob. Chaco; Dep. Resistencia; Margarita Belén",,,,,,,"Achatocarpus praecox var. bicornutus (Schinz & Autran) Botta",,,"AGUILAR",1299,"ACHATOCARPACEAE_AGUILAR_1299",-9,8,-1,FALSE,500160,"Variety","Accepted","Achatocarpaceae","Achatocarpus praecox var. bicornutus","(Schinz & Autran) Botta","Y","Accepted",TRUE,FALSE,1,FALSE,"groupable",FALSE,"Achatocarpus praecox var. bicornutus","identified",1,FALSE,,,""
2302426862,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3598540",,"IAN","IAN",,"PRESERVED_SPECIMEN","IAN073801","s.n.","Alberti, FA","PRESENT",,,,,,"Arbol mediana ramificado desde la base.",,"AR",,,,,,,,,,,"Achatocarpus Triana",,,"ALBERTI",,"ACHATOCARPACEAE_ALBERTI_",-9,6,-3,FALSE,,,,,,,,,TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",TRUE,"","unidentified",0,FALSE,,,""
3307744912,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","406355",,"Janis B. Alcorn","PRESENT",1979-05-29,1979,5,29,,,,"MX","San luis potosi",,"SAN LUIS POTOSI","Between Tamuin pyramids & sagrada familia, Tanquian.",,,,,"J. B. Alcorn",,"Achatocarpus nigricans Triana",,,"ALCORN",,"ACHATOCARPACEAE_ALCORN_",-9,7,-2,FALSE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,FALSE,,,""
3307737025,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","406356",,"Janis B. Alcorn","PRESENT",1979-04-06,1979,4,6,,,,"MX","San luis potosi",,,"Pujal",,,,,"J. B. Alcorn",,"Achatocarpus nigricans Triana",,,"ALCORN",,"ACHATOCARPACEAE_ALCORN_",-9,7,-2,FALSE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,FALSE,,,""
3307732969,"Sánchez-Cordero Dávila V., S. Magallón, G. Salazar Chávez y D. Gernandt. 2020. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB-CONABIO (plantas vasculares), proyecto KE002. Ciudad de México","es","IBUNAM","MEXU","Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM","PRESERVED_SPECIMEN","406357",,"Janis B. Alcorn","PRESENT",1979-04-06,1979,4,6,"Bosque tropical deciduo. Disturbed roadside",,,"MX","San luis potosi",,"CIUDAD VALLES","Pujal",,,,,"J. B. Alcorn",,"Achatocarpus nigricans Triana",,,"ALCORN",,"ACHATOCARPACEAE_ALCORN_",-9,7,-2,FALSE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,FALSE,,,""
2807468458,,,"TEX","TEX",,"PRESERVED_SPECIMEN","00095982",,"Janis B. Alcorn","PRESENT",1979-05-29,1979,5,29,,,"Pastured forest","MX","San Luis Potosi",,"Tanquian de Escobedo","Between Tamuin pyramids & Sagrada Familia",,,,,"Alcorn, Janis B.",,"Achatocarpus nigricans Triana",,,"ALCORN",,"ACHATOCARPACEAE_ALCORN_",-9,7,-2,FALSE,500156,"Species","Accepted","Achatocarpaceae","Achatocarpus nigricans","Triana","Y","Accepted",TRUE,FALSE,1,TRUE,"not groupable: no recordNumber",FALSE,"Achatocarpus nigricans","identified",1,FALSE,,,""
