"wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche pacifica",,,,0,0,"Not found"
,,,,,,,,"Carpotroche pacifica",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Carpotroche longifolia",,,,0,0,"Not found"
,,,,,,,,"Carpotroche Endl.",,,,,,
,,,,,,,,"Hydnocarpus annamensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus annamensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus hainanensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus hainanensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus annamensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus alpinus",,,,0,0,"Not found"
,,,,,,,,"Gynocardia odorata",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus hainanensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus annamensis",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Oncoba welwitschii",,,,0,0,"Not found"
,,,,,,,,"Oncoba welwitschii",,,,0,0,"Not found"
